dealYear,dealMonth,dealDay,umdNm,aptNm,buildYear,excluUseAr,dealAmount,floor,jibun,aptSeq
2018,1,30,마곡동,마곡엠밸리8단지,2016,59.79,"74,000",10,741,11500-7419
2018,1,20,마곡동,마곡힐스테이트,2017,59.97,"75,100",4,1589,11500-7244
2018,1,27,마곡동,마곡엠벨리(15단지),2014,84.86,"86,000",15,751,11500-6867
2018,1,27,등촌동,"등촌1,2단지주공아파트",1994,49.94,"42,000",3,687,11500-54
2018,1,31,등촌동,대동황토방,2000,59.78,"45,000",6,631-9,11500-34
2018,1,29,염창동,벽산늘푸른,1998,84.94,"46,900",8,290,11500-14
2018,1,29,등촌동,등촌동아이파크,2004,84.7556,"55,000",3,715,11500-263
2018,1,30,염창동,동아3,1999,59.83,"48,500",14,258-1,11500-7
2018,1,28,마곡동,마곡우림필유아파트,2003,84.528,"54,500",6,1467,11500-269
2018,1,29,등촌동,월드메르디앙,2002,84.97,"49,700",6,711,11500-69
2018,1,23,등촌동,동성,1995,101.88,"59,700",5,691-1,11500-36
2018,1,31,등촌동,등촌라인(조합),1997,59.91,"40,500",6,628-15,11500-39
2018,1,10,등촌동,주공3,1995,58.14,"53,200",7,688,11500-55
2018,1,27,마곡동,마곡우림필유아파트,2003,84.528,"53,500",10,1467,11500-269
2018,1,31,화곡동,"우장산아이파크,이편한세상",2008,114.98,"90,000",3,1159,11500-5419
2018,1,30,방화동,방화4단지,1994,134.61,"58,000",12,831,11500-195
2018,1,27,마곡동,한솔솔파크,2005,84.87,"67,900",7,716,11500-5140
2018,1,23,방화동,AirPalace(619-7),2013,14.1,"9,400",3,619-7,11500-6675
2018,1,30,화곡동,우장산롯데캐슬,2003,85,"69,500",19,1145,11500-242
2018,1,27,화곡동,강서힐스테이트,2015,84.99,"76,000",2,1165,11500-6919
2018,1,31,등촌동,등촌동아이파크,2004,84.7556,"59,800",10,715,11500-263
2018,1,27,화곡동,화곡푸르지오,2002,125.021,"70,400",6,1091,11500-120
2018,1,23,등촌동,주공3,1995,58.14,"53,000",10,688,11500-55
2018,1,27,등촌동,부영,1994,80.64,"57,800",10,691-3,11500-41
2018,1,27,가양동,가양강나루현대,1999,84.98,"62,000",18,448-1,11500-143
2018,1,24,등촌동,"등촌7,8단지주공아파트",1994,41.85,"36,100",14,707,11500-57
2018,1,19,화곡동,GMValley,2018,27.16,"18,500",10,899-27,11500-7733
2018,1,22,화곡동,남광아파트,2015,45.47,"23,500",9,917-5,11500-7167
2018,1,28,화곡동,삼성다빈치(917-14),2015,14.35,"10,500",9,917-14,11500-7090
2018,1,23,내발산동,우장산힐스테이트,2005,101.87,"95,000",9,657,11500-477
2018,1,26,화곡동,화곡푸르지오,2002,84.914,"59,500",2,1091,11500-120
2018,1,16,염창동,염창2차한화꿈에그린,2006,84.99,"61,000",13,302,11500-5206
2018,1,27,방화동,장미,1994,49.2,"31,500",15,841,11500-209
2018,1,27,화곡동,명주캐슬(61-9),2002,66.37,"21,500",5,61-9,11500-310
2018,1,24,가양동,강서한강자이,2013,124.4246,"88,000",19,1500,11500-6753
2018,1,30,염창동,동아3,1999,84.87,"54,500",6,258-1,11500-7
2018,1,25,화곡동,동양하우징(899-4),2017,26.29,"22,500",8,899-4,11500-7666
2018,1,29,화곡동,화곡푸르지오,2002,156.876,"76,100",13,1091,11500-120
2018,1,30,등촌동,우성,1992,84.96,"39,000",4,630-3,11500-49
2018,1,25,가양동,강변,1992,39.6,"34,000",4,1475,11500-146
2018,1,23,화곡동,강서힐스테이트,2015,59.99,"66,500",20,1165,11500-6919
2018,1,27,등촌동,제일(코오롱),1999,84.83,"46,700",9,642,11500-52
2018,1,25,등촌동,"진로,미주아파트",1994,84.96,"56,500",9,701,11500-58
2018,1,29,내발산동,태승훼미리2,2004,84.83,"48,600",8,685,11500-363
2018,1,23,가양동,가양2단지(성지),1992,49.56,"40,000",15,1461,11500-151
2018,1,20,마곡동,마곡엠벨리(15단지),2014,84.5,"73,000",1,751,11500-6867
2018,1,27,가양동,가양강나루현대,1999,84.98,"62,000",16,448-1,11500-143
2018,1,29,가양동,가양강나루현대,1999,59.76,"50,000",5,448-1,11500-143
2018,1,18,마곡동,마곡엠벨리(14단지),2014,84.88,"86,000",13,750,11500-6868
2018,1,19,염창동,태진한솔,1994,58.87,"43,500",13,263,11500-26
2018,1,23,화곡동,GMValley,2018,23.8,"18,500",14,899-27,11500-7733
