dealYear,dealMonth,dealDay,umdNm,aptNm,buildYear,excluUseAr,dealAmount,floor,jibun,aptSeq
2020,1,31,삼성동,한밭자이,2006,59.9929,"24,000",12,479,30110-941
2020,1,31,중동,반석시티,2019,45.5251,"18,900",6,56-7,30110-1061
2020,1,20,용운동,용방마을,2003,49.98,"12,500",4,460,30110-67
2020,1,31,중동,반석시티,2019,49.0718,"19,200",6,56-7,30110-1061
2020,1,21,가양동,평화맨션,1986,62.1,"14,000",1,443-2,30110-37
2020,1,13,판암동,주공2,1990,58.01,"12,000",11,202,30110-10
2020,1,22,천동,휴먼시아2단지,2008,84.63,"24,500",9,528,30110-971
2020,1,31,낭월동,오투그란데,2008,110.3271,"23,100",5,304,30110-969
2020,1,28,낭월동,오투그란데,2008,84.9867,"21,000",16,304,30110-969
2020,1,28,낭월동,e편한세상,2011,101.4,"27,500",14,723,30110-989
2020,1,30,중동,반석시티,2019,49.0718,"19,600",8,56-7,30110-1061
2020,1,10,성남동,스마트뷰,2011,84.98,"32,500",22,528,30110-992
2020,1,20,용전동,한숲,1999,114.75,"26,900",9,194-3,30110-47
2020,1,31,가오동,은어송마을6단지(풍림2차),2007,84.5,"27,800",10,497,30110-958
2020,1,31,성남동,효촌마을,2003,84.45,"23,500",3,520,30110-76
2020,1,20,낭월동,e편한세상,2011,84.985,"22,800",3,723,30110-989
2020,1,13,용운동,한화꿈에그린,2006,84.4963,"23,700",14,703,30110-933
2020,1,18,삼성동,삼성타운2단지,2007,59.45,"18,250",2,481,30110-959
2020,1,29,중동,반석시티,2019,45.7885,"19,000",2,56-7,30110-1061
2020,1,29,대동,이스트시티1단지,2018,84.98,"48,500",17,539,30110-1056
2020,1,13,삼성동,삼성타운2단지,2007,59.45,"19,000",2,481,30110-959
2020,1,23,천동,휴먼시아2단지,2008,84.87,"24,200",12,528,30110-971
2020,1,30,판암동,미리내아파트,1999,84.92,"18,200",13,460,30110-7
2020,1,31,신흥동,신흥마을주공,2006,84.86,"25,800",7,212,30110-937
2020,1,6,성남동,스마트뷰,2011,118.09,"34,200",1,528,30110-992
2020,1,31,판암동,삼정그린코아포레스트(1단지),2018,69.1267,"28,200",4,839,30110-1048
2020,1,11,인동,현대,1987,52.38,"12,500",2,179-1,30110-1
2020,1,23,인동,현대,1987,79.27,"15,000",1,179-1,30110-1
2020,1,17,낭월동,오투그란데,2008,84.9853,"20,400",2,304,30110-969
2020,1,7,인동,담소루아파트,2018,84.91,"23,500",9,12-5,30110-1049
2020,1,23,중동,반석시티,2019,45.5251,"19,300",8,56-7,30110-1061
2020,1,9,낭월동,e편한세상,2011,84.985,"23,900",8,723,30110-989
2020,1,18,가양동,대주파크빌,2006,81.1171,"22,600",11,652-1,30110-932
2020,1,23,중동,반석시티,2019,49.0718,"19,000",5,56-7,30110-1061
2020,1,27,인동,부성한울,2003,59.8524,"15,000",8,73-1,30110-62
2020,1,31,인동,어진마을,2007,59.44,"20,700",15,353,30110-951
2020,1,31,삼성동,맑은미소,2006,59.7818,"13,750",5,108-3,30110-934
2020,1,8,용전동,한숲,1999,59.925,"19,900",12,194-3,30110-47
2020,1,23,가양동,동신,1979,75.37,"11,000",1,53-6,30110-27
2020,1,22,삼성동,한밭자이,2006,59.9929,"27,900",6,479,30110-941
2020,1,29,삼성동,한밭자이,2006,84.9302,"33,500",9,479,30110-941
2020,1,10,용운동,한화꿈에그린,2006,84.4963,"21,800",9,703,30110-933
2020,1,7,가양동,한산(55-3),1981,79.8,"10,300",2,55-3,30110-40
2020,1,17,대동,대신새들뫼1단지,2010,84.97,"42,700",10,527,30110-979
2020,1,21,삼성동,한밭자이,2006,59.9929,"26,700",14,479,30110-941
2020,1,29,낭월동,오투그란데,2008,84.9817,"21,500",17,304,30110-969
2020,1,29,대성동,은어송마을2단지(코오롱하늘채),2007,102.819,"34,800",2,130,30110-946
2020,1,30,용전동,새피앙,1997,59.4,"14,300",5,181-1,30110-43
2020,1,15,성남동,효촌마을,2003,84.45,"22,800",3,520,30110-76
2020,1,27,용전동,한울,2002,37.251,"8,000",3,131-1,30110-73
2020,1,28,인동,모닝빌,2006,82.2828,"15,200",7,29-2,30110-938
2020,1,7,원동,뜰안채주상복합,2007,81.6225,"16,400",6,35-3,30110-952
2020,1,5,원동,뜰안채주상복합,2007,60.015,"13,000",10,35-3,30110-952
2020,1,21,용전동,한숲,1999,84.94,"24,000",12,194-3,30110-47
2020,1,30,인동,현대,1987,63.99,"16,000",11,179-1,30110-1
2020,1,3,인동,모닝빌,2006,82.2828,"14,900",13,29-2,30110-938
2020,1,23,가오동,은어송마을3단지(가오아이파크),2006,84.9859,"30,800",16,496,30110-939
2020,1,15,중동,반석시티,2019,49.0718,"19,800",9,56-7,30110-1061
2020,1,21,용전동,한숲,1999,59.925,"19,000",9,194-3,30110-47
2020,1,18,용전동,한숲,1999,84.94,"23,000",15,194-3,30110-47
2020,1,14,가오동,은어송마을6단지(풍림2차),2007,84.49,"27,200",13,497,30110-958
2020,1,18,성남동,스마트뷰,2011,84.87,"34,200",17,528,30110-992
2020,1,30,판암동,주공6,1992,38.64,"5,500",3,233,30110-12
2020,1,18,성남동,스마트뷰,2011,84.98,"33,500",7,528,30110-992
2020,1,6,인동,담소루아파트,2018,84.91,"23,300",6,12-5,30110-1049
2020,1,23,판암동,주공1,1990,59.39,"9,300",15,178,30110-9
2020,1,31,판암동,주공1,1990,45.77,"8,000",14,178,30110-9
2020,1,17,대성동,은어송마을2단지(코오롱하늘채),2007,84.997,"32,600",12,130,30110-946
2020,1,10,인동,대호아파트,2017,84.18,"17,800",3,82-6,30110-1040
2020,1,10,인동,대호아파트,2017,81.54,"17,800",2,82-6,30110-1040
2020,1,14,낭월동,오투그란데,2008,84.9867,"20,500",6,304,30110-969
2020,1,23,삼성동,솔랑마을,2000,84.84,"18,000",15,369-1,30110-58
2020,1,31,낭월동,e편한세상,2011,84.985,"22,700",3,723,30110-989
2020,1,10,대동,대동펜타뷰,2011,84.88,"39,500",25,535,30110-991
2020,1,23,성남동,석촌마을,2000,59.63,"15,800",12,518,30110-75
2020,1,23,가양동,아침마을,2011,84.76,"37,000",9,705,30110-987
2020,1,19,삼성동,솔랑마을,2000,59.85,"15,700",16,369-1,30110-58
2020,1,17,판암동,삼정그린코아포레스트(1단지),2018,59.9735,"28,600",14,839,30110-1048
2020,1,17,삼성동,빌라맨션,1980,156.852,"19,000",9,279-1,30110-56
2020,1,18,용전동,신동아,1990,111.69,"20,300",5,1,30110-45
2020,1,30,성남동,석촌마을,2000,59.74,"16,800",5,518,30110-75
2020,1,19,신흥동,신흥마을주공,2006,75.78,"25,000",19,212,30110-937
2020,1,22,판암동,주공2,1990,58.01,"11,700",1,202,30110-10
2020,1,17,효동,효동현대,1998,76.08,"19,200",5,135-1,30110-2
2020,1,19,대동,대신새들뫼1단지,2010,84.83,"42,700",16,527,30110-979
2020,1,2,대동,대신새들뫼1단지,2010,84.98,"42,500",14,527,30110-979
2020,1,18,대동,대동펜타뷰,2011,84.78,"37,500",9,535,30110-991
2020,1,18,가양동,아침마을,2011,118.77,"39,900",11,705,30110-987
2020,1,22,가오동,주공(210),1985,59.3,"22,000",2,210,30110-6
2020,1,11,대성동,삼익세라믹,1991,84.97,"13,500",13,30,30110-61
2020,1,6,삼성동,대청,1985,54,"6,300",7,302-94,30110-55
2020,1,27,판암동,주공6,1992,38.64,"5,500",11,233,30110-12
2020,1,29,홍도동,청룡,1980,68.15,"14,500",5,57,30110-1045
2020,1,16,대성동,은어송마을2단지(코오롱하늘채),2007,121.3897,"44,500",21,130,30110-946
2020,1,4,대성동,은어송마을2단지(코오롱하늘채),2007,102.819,"39,500",17,130,30110-946
2020,1,13,인동,세강듀오빌,2004,59.9264,"13,600",15,78-4,30110-63
2020,1,3,홍도동,청룡,1980,55.43,"11,800",2,57,30110-1045
2020,1,14,가오동,은어송마을1단지(풍림아이원),2007,84.9864,"25,900",29,658,30110-953
2020,1,30,가오동,은어송마을5단지(우미린),2007,59.9883,"23,600",18,556,30110-945
2020,1,12,가오동,은어송마을5단지(우미린),2007,59.9883,"24,100",10,556,30110-945
2020,1,28,가오동,은어송마을5단지(우미린),2007,59.8586,"23,600",14,556,30110-945
2020,1,9,대동,대동펜타뷰,2011,59.8,"32,000",18,535,30110-991
2020,1,27,판암동,주공2,1990,59.39,"10,500",6,202,30110-10
2020,1,31,낭월동,e편한세상,2011,101.4,"26,250",13,723,30110-989
2020,1,19,홍도동,신동아파밀리에1단지,2007,84.9616,"25,000",12,1003,30110-956
2020,1,13,가양동,아침마을,2011,84.76,"31,800",3,705,30110-987
2020,1,11,가양동,아침마을,2011,118.92,"41,000",16,705,30110-987
2020,1,11,가양동,아침마을,2011,84.96,"35,200",4,705,30110-987
2020,1,14,신흥동,신흥마을주공,2006,75.78,"22,200",4,212,30110-937
2020,1,28,용전동,한숲,1999,99.985,"26,500",14,194-3,30110-47
2020,1,18,판암동,주공5,1992,58.46,"11,500",3,236,30110-11
2020,1,30,성남동,효촌마을,2003,46.2,"17,000",7,520,30110-76
2020,1,28,성남동,스마트뷰,2011,84.87,"32,500",8,528,30110-992
2020,1,10,용운동,용방마을,2003,84.97,"19,700",14,460,30110-67
2020,1,10,용운동,한화꿈에그린,2006,140.3707,"28,900",5,703,30110-933
2020,1,20,가양동,아침마을,2011,118.92,"39,500",6,705,30110-987
2020,1,29,용운동,용방마을,2003,84.3,"18,700",5,460,30110-67
2020,1,22,대성동,은어송마을2단지(코오롱하늘채),2007,84.9905,"29,000",3,130,30110-946
2020,1,5,용운동,용방마을,2003,84.97,"19,450",4,460,30110-67
2020,1,21,용전동,큰솔101동,1999,24.2976,"5,000",11,48-22,30110-71
2020,1,19,대동,이스트시티1단지,2018,74.95,"37,500",2,539,30110-1056
2020,1,19,용전동,신동아,1990,67.64,"15,000",13,1,30110-45
2020,1,5,용전동,신동아,1990,84.56,"15,800",4,1,30110-45
2020,1,27,효동,효동현대,1998,84.6825,"17,500",2,135-1,30110-2
2020,1,30,천동,휴먼시아2단지,2008,84.87,"24,000",3,528,30110-971
2020,1,28,판암동,주공2,1990,59.39,"11,900",8,202,30110-10
2020,1,15,자양동,동아아파트(201),1990,84.89,"16,900",6,201,30110-20
2020,1,22,낭월동,오투그란데,2008,84.9853,"21,300",22,304,30110-969
2020,1,11,신흥동,신흥마을주공,2006,75.78,"22,800",20,212,30110-937
2020,1,18,가오동,은어송마을5단지(우미린),2007,59.993,"24,000",6,556,30110-945
2020,1,27,가양동,동신,1979,75.37,"12,000",1,53-6,30110-27
2020,1,18,낭월동,오투그란데,2008,84.9853,"22,500",23,304,30110-969
2020,1,23,가오동,천동주공,1985,47.1,"17,000",3,394,30110-161
2020,1,19,용운동,마젤란21,2006,84.9328,"19,000",8,598,30110-942
2020,1,30,용운동,한화꿈에그린,2006,84.4963,"22,500",8,703,30110-933
2020,1,3,인동,현대,1987,70.96,"16,100",4,179-1,30110-1
2020,1,18,판암동,주공2,1990,45.77,"7,500",4,202,30110-10
