dealYear,dealMonth,dealDay,umdNm,aptNm,buildYear,excluUseAr,deposit,monthlyRent,contractType,floor,jibun,aptSeq
2020,1,20,대성동,은어송코오롱하늘채2차,2016,59.95,"3,000",60, ,11,420,30110-1033
2020,1,7,대성동,은어송마을2단지(코오롱하늘채),2007,102.819,"28,000",0, ,18,130,30110-946
2020,1,10,성남동,스마트뷰,2011,84.87,"24,000",0, ,20,528,30110-992
2020,1,23,용운동,e편한세상 대전에코포레,2020,59.8825,"23,500",0, ,6,783,30110-1069
2020,1,28,대동,이스트시티1단지,2018,74.99,"2,000",80, ,24,539,30110-1056
2020,1,31,인동,대호아파트,2017,83.39,"9,500",0, ,2,82-6,30110-1040
2020,1,31,인동,대호아파트,2017,84.18,"9,500",0, ,2,82-6,30110-1040
2020,1,4,천동,휴먼시아2단지,2008,84.77,"21,000",0, ,10,528,30110-971
2020,1,16,대동,이스트시티1단지,2018,59.95,"21,000",0, ,24,539,30110-1056
2020,1,8,용전동,푸른,2000,40.5993,"7,000",0, ,2,57-21,30110-72
2020,1,6,판암동,삼정그린코아포레스트(2단지),2018,76.0858,"28,000",0, ,15,834,30110-1047
2020,1,3,판암동,삼정그린코아포레스트(1단지),2018,72.4893,"27,000",0, ,23,839,30110-1048
2020,1,4,대동,이스트시티1단지,2018,74.99,"24,000",0, ,1,539,30110-1056
2020,1,2,판암동,주공5,1992,44.94,500,30, ,10,236,30110-11
2020,1,23,가양동,평화맨션,1986,64.8,"7,000",0, ,1,443-2,30110-37
2020,1,8,낭월동,오투그란데,2008,84.9867,"19,000",0, ,17,304,30110-969
2020,1,23,대동,대동펜타뷰,2011,84.78,"26,000",0, ,5,535,30110-991
2020,1,21,성남동,석촌마을,2000,49.79,"1,000",40, ,11,518,30110-75
2020,1,8,판암동,주공4,1992,26.37,250,5, ,5,239,30110-64
2020,1,28,가오동,수팰리스,2020,43.3814,"5,300",50, ,6,596,30110-1063
2020,1,29,판암동,주공6,1992,38.64,"4,000",0, ,1,233,30110-12
2020,1,17,판암동,주공5,1992,38.64,"4,500",0, ,13,236,30110-11
2020,1,14,가오동,은어송마을1단지(풍림아이원),2007,84.9864,"2,000",80, ,18,658,30110-953
2020,1,8,대동,대신새들뫼1단지,2010,118.67,"34,000",0, ,9,527,30110-979
2020,1,15,천동,위드힐,2013,84.99,"24,000",0, ,11,540,30110-1006
2020,1,29,인동,모닝빌,2006,82.2828,"10,000",0,신규,5,29-2,30110-938
2020,1,17,가오동,은어송마을3단지(가오아이파크),2006,84.9326,"26,000",0, ,12,496,30110-939
