dealYear,dealMonth,dealDay,umdNm,aptNm,buildYear,excluUseAr,dealAmount,floor,jibun,aptSeq
2021,1,7,용호동,경동,1992,114.63,"34,750",11,519-5,26290-25
2021,1,14,문현동,골든밸류빌,2005,73.31,"79,000",19,765-1,26290-310
2021,1,29,대연동,마마(1781-66),1988,48.815,"11,500",4,1781-66,26290-9
2021,1,31,감만동,동일스위트,2005,59.9925,"20,500",17,73-212,26290-1905
2021,1,26,문현동,무학프라자,1997,58.74,"19,100",12,255-30,26290-76
2021,1,29,용호동,분포맨션,1982,71.4,"29,800",4,368-1,26290-218
2021,1,27,용호동,더블유,2018,124.234,"208,000",11,954,26290-2602
2021,1,29,대연동,대연파크푸르지오,2018,84.9866,"71,400",13,1893,26290-2637
2021,1,26,감만동,정원,1984,56.16,"22,030",1,176-24,26290-57
2021,1,30,감만동,동일스위트,2005,74.0746,"23,000",2,73-212,26290-1905
2021,1,30,대연동,대연롯데캐슬레전드1단지,2018,49.31,"40,000",13,1872,26290-2625
2021,1,31,용당동,현대아이파크,2002,84.9623,"24,100",17,99-10,26290-48
2021,1,21,감만동,유창1,1991,48.18,"7,700",2,189-77,26290-55
2021,1,25,용당동,한신문화타운,1990,136.06,"34,500",15,564-3,26290-47
2021,1,26,용호동,엘지메트로시티1,2001,144.48,"80,500",1,176-30,26290-38
2021,1,30,용호동,협진태양,1988,62.59,"22,000",3,536-18,26290-42
2021,1,23,용당동,현대아이파크,2002,77.4806,"25,500",24,99-10,26290-48
2021,1,22,대연동,동경쉐르빌,2002,84.82,"27,000",8,1748-5,26290-206
2021,1,24,감만동,감만현대1차,1996,59.92,"15,500",14,225-2,26290-59
2021,1,29,용당동,한신문화타운,1990,123.49,"30,500",15,564-3,26290-47
2021,1,30,대연동,삼익그린,2001,59.86,"17,000",8,245-23,26290-14
2021,1,18,대연동,아이홈대연,2019,84.8457,"40,000",8,1764-6,26290-2639
2021,1,28,감만동,우암자유5,1996,38.45,"10,500",18,31-3,26290-54
2021,1,29,대연동,경동메르빌,2005,84.9302,"29,500",3,252-1,26290-1885
2021,1,21,용호동,오륙도에스케이뷰,2008,98.4097,"50,000",1,944,26290-1980
2021,1,22,대연동,동부리젠시빌,1997,137.05,"33,000",3,1543-20,26290-183
2021,1,26,용당동,신대연코오롱하늘채,2007,126.1383,"54,000",15,599-1,26290-1947
2021,1,26,용호동,엘지메트로시티5,2004,84.888,"61,500",7,176-30,26290-311
2021,1,30,문현동,현대,1998,84.846,"26,700",22,73-1,26290-86
2021,1,26,대연동,대연롯데캐슬레전드1단지,2018,84.95,"89,900",21,1872,26290-2625
2021,1,21,감만동,동일스위트,2005,74.0746,"25,500",7,73-212,26290-1905
2021,1,20,감만동,동일스위트,2005,74.0746,"25,000",1,73-212,26290-1905
2021,1,19,용호동,GS하이츠자이,2008,171.5082,"160,000",16,197,26290-1959
2021,1,8,대연동,정성재아파트,2019,58.63,"32,864",6,1918,26290-2701
