dealYear,dealMonth,dealDay,umdNm,aptNm,buildYear,excluUseAr,dealAmount,floor,jibun,aptSeq
2021,1,9,광안동,POPS아트빌38,2012,22.08,"6,400",7,1077-16,26500-1679
2021,1,18,광안동,광안센텀스카이뷰,2014,31.99,"11,700",2,379-30,26500-1837
2021,1,20,광안동,힐탑더블시티,2015,49.9174,"13,800",5,662-1,26500-1892
2021,1,30,망미동,오양장미,1981,54.21,"46,700",3,210-1,26500-49
2021,1,29,남천동,남천우성스마트시티뷰,2020,84.981,"56,620",13,556-7,26500-2245
2021,1,27,광안동,삼정그린코아,2005,112.818,"75,000",9,172-1,26500-262
2021,1,27,민락동,센텀비치푸르지오,2003,132.19,"72,000",9,108-1,26500-74
2021,1,27,광안동,동원맨션(776-21),1979,84.93,"43,000",5,776-21,26500-209
2021,1,26,광안동,지성캐슬,2013,49.96,"16,680",5,1070-10,26500-1723
2021,1,21,남천동,남천알파타워,2013,34.745,"12,000",3,10-14,26500-1737
2021,1,29,망미동,이편한세상2차,2004,59.901,"35,500",4,1128,26500-115
2021,1,26,민락동,e편한세상광안비치,2016,84.727,"68,000",14,773,26500-1983
2021,1,31,광안동,비치-그린아파트,1996,84.9,"40,500",8,529,26500-7
2021,1,25,광안동,태림,1982,83.57,"32,900",2,177-6,26500-16
2021,1,17,망미동,로얄베스토피아,1993,84.42,"20,800",6,941-1,26500-45
2021,1,22,망미동,산호맨션,1986,84.87,"26,800",4,834-3,26500-46
2021,1,26,남천동,진흥목화,1996,84.95,"40,000",8,44-10,26500-36
2021,1,23,망미동,현대한누리,1993,84.99,"24,700",10,979-72,26500-55
2021,1,19,민락동,롯데캐슬자이언트,2003,121.1904,"79,000",20,110-8,26500-75
2021,1,15,남천동,삼익비치,1979,41.52,"80,000",4,148-4,26500-29
2021,1,16,남천동,진주,1986,77.13,"58,000",1,3-11,26500-35
2021,1,19,망미동,협진태양맨션B동,1979,82.32,"15,000",5,407-2,26500-104
2021,1,26,망미동,로얄베스토피아,1993,80.07,"16,950",6,941-1,26500-45
2021,1,18,민락동,백산타워빌라,2003,83.88,"20,000",2,144-3,26500-89
2021,1,11,광안동,태림,1982,83.57,"29,700",4,177-6,26500-16
2021,1,29,망미동,현대한누리,1993,84.99,"26,500",10,979-72,26500-55
2021,1,28,남천동,남천동원로얄듀크,2000,182.09,"65,500",1,490,26500-24
2021,1,21,망미동,현대한누리,1993,84.54,"23,000",6,979-72,26500-55
2021,1,29,망미동,오양장미,1981,52.26,"45,500",5,210-1,26500-49
2021,1,8,광안동,세종엠스테이3차,2016,84.82,"38,500",2,142-12,26500-1945
2021,1,29,광안동,이린타워빌8,2017,60.83,"27,250",3,122-6,26500-2029
2021,1,11,망미동,예광스카이파크,2003,84.81,"49,900",3,253-12,26500-88
