dealYear,dealMonth,dealDay,umdNm,aptNm,buildYear,excluUseAr,dealAmount,floor,jibun,aptSeq
2018,1,1,마장동,세림,1986,84.93,"71,000",1,784,11200-13
2018,1,29,마장동,현대,1998,134.79,"71,800",23,818,11200-14
2018,1,7,상왕십리동,텐즈힐(2단지),2014,55.2,"66,000",6,811,11200-3024
2018,1,24,행당동,서울숲더샵,2014,84.06,"86,700",12,377,11200-3031
2018,1,13,하왕십리동,왕십리풍림아이원,2004,114.928,"70,000",9,1061,11200-98
2018,1,16,성수동1가,동아,1983,95.85,"93,000",9,656-320,11200-52
2018,1,20,행당동,서울숲행당푸르지오,2011,59.68,"66,500",12,376,11200-2914
2018,1,28,사근동,중앙하이츠,1989,71.85,"40,000",11,199,11200-17
2018,1,24,성수동1가,강변건영아파트,2002,84.941,"106,000",21,710,11200-49
2018,1,24,하왕십리동,극동미라주,2001,114.63,"58,500",1,1058,11200-1
2018,1,10,행당동,서울숲 한신 더 휴,2003,114.97,"76,000",11,349,11200-24
2018,1,29,행당동,서울숲삼부아파트,1998,84.93,"84,000",8,147,11200-20
2018,1,20,행당동,서울숲 한신 더 휴,2003,59.94,"56,000",19,349,11200-24
2018,1,20,행당동,서울숲행당푸르지오,2011,59.68,"70,500",9,376,11200-2914
2018,1,29,행당동,대림e-편한세상,2000,114.94,"90,000",9,347,11200-18
2018,1,31,금호동3가,금호자이2차,2012,84.9796,"83,000",22,700,11200-2969
2018,1,31,금호동3가,금호1차푸르지오,2005,84.92,"70,000",1,917,11200-2689
2018,1,31,금호동3가,금호한신,2005,84.49,"70,000",8,1662,11200-2691
2018,1,26,행당동,행당한진타운,2000,114.62,"92,000",15,346,11200-22
2018,1,13,응봉동,대림강변타운,2001,59.76,"59,000",12,15,11200-29
2018,1,31,응봉동,대림(1차),1986,126.66,"96,000",14,100,11200-77
2018,1,8,용답동,중앙하이츠,1995,84.545,"40,500",3,15,11200-76
2018,1,27,옥수동,옥수파크힐스101동~116동,2016,59.91,"95,000",9,528,11200-3114
2018,1,25,마장동,왕십리금호어울림,2006,84.97,"66,800",3,820,11200-90
2018,1,29,마장동,현대,1998,59.91,"40,000",1,818,11200-14
2018,1,24,옥수동,옥수삼성,1999,59.7,"60,000",1,250,11200-42
2018,1,31,응봉동,대림(2차),1989,84.53,"60,000",3,97,11200-28
2018,1,25,금호동4가,대우,2001,59.97,"61,000",11,800,11200-35
2018,1,22,용답동,중앙하이츠,1995,59.74,"35,500",16,15,11200-76
2018,1,25,성수동2가,강변금호타운,1994,59.67,"90,000",7,830,11200-64
2018,1,21,행당동,서울숲더샵,2014,84.18,"102,700",34,377,11200-3031
2018,1,21,옥수동,옥수삼성,1999,59.7,"70,000",9,250,11200-42
2018,1,25,성수동1가,한진타운,1994,84.21,"89,800",1,704,11200-60
2018,1,24,옥수동,래미안 옥수 리버젠,2012,59.25,"92,000",10,561,11200-2980
2018,1,27,옥수동,옥수어울림,2011,84.65,"120,000",10,560,11200-2935
2018,1,29,상왕십리동,텐즈힐(2단지),2014,84.9,"95,000",7,811,11200-3024
2018,1,4,금호동4가,서울숲2차푸르지오,2012,59.907,"84,500",15,235,11200-2970
