매칭: 41 / 41

OK [토성초/18] → 토성초/563/18
OK [풍납초/15] → 풍납초/270/15
OK [풍성초/16] → 풍성초/258/16
OK [잠실초/20] → 잠실초/845/20
OK [잠현초/23] → 잠현초/745/23
OK [방이초/19] → 방이초/485/19
OK [잠동초/24] → 잠동초/826/24
OK [방산초/21] → 방산초/588/21
OK [신가초/19] → 신가초/536/19
OK [중대초/22] → 중대초/999/22
OK [가락초/22] → 가락초/1145/22
OK [해누리초/22] → 해누리초/710/22
OK [석촌초/17] → 석촌초/544/17
OK [송파초/19] → 송파초/464/19
OK [삼전초/17] → 삼전초/523/17
OK [신천초/17] → 신천초/399/17
OK [잠신초/27] → 잠신초/1390/27
OK [잠일초/27] → 잠일초/1550/27
OK [아주초/19] → 아주초/347/19
OK [가동초/21] → 가동초/677/21
OK [가주초/22] → 가주초/748/22
OK [평화초/12] → 평화초/152/12
OK [문정초/21] → 문정초/743/21
OK [문덕초/18] → 문덕초/457/18
OK [문현초/19] → 문현초/692/19
OK [위례별초/22] → 위례별초/1541/22
OK [송례초/23] → 송례초/1301/23
OK [거원초/19] → 거원초/546/19
OK [위례솔초/24] → 위례솔초/1084/24
OK [개롱초/17] → 개롱초/272/17
OK [남천초/14] → 남천초/230/14
OK [거여초/20] → 거여초/647/20
OK [오금초/20] → 오금초/602/20
OK [오륜초/23] → 오륜초/518/23
OK [세륜초/22] → 세륜초/625/22
OK [가원초/21] → 가원초/596/21
OK [마천초/19] → 마천초/621/19
OK [버들초/28] → 버들초/901/28
OK [송전초/22] → 송전초/713/22
OK [영풍초/17] → 영풍초/558/17
OK [잠전초/19] → 잠전초/426/19
