dealYear,dealMonth,dealDay,umdNm,aptNm,buildYear,excluUseAr,dealAmount,floor,jibun,aptSeq
2018,1,26,문정동,인택,2002,59.94,"51,200",8,114,11710-90
2018,1,7,장지동,송파와이즈더샵,2016,96.6882,"112,500",5,895,11710-8018
2018,1,30,가락동,현대(5차),1989,82.4,"86,600",14,161-2,11710-71
2018,1,27,오금동,우창,1985,76.42,"65,000",3,164,11710-129
2018,1,27,가락동,sk파크타워,2003,84.85,"64,000",5,166-2,11710-179
2018,1,30,거여동,보화1차,1987,43.66,"29,500",5,199-2,11710-138
2018,1,30,가락동,성원상떼빌,2006,136.24,"76,000",5,80,11710-5828
2018,1,24,신천동,파크리오,2008,84.79,"145,000",19,17,11710-6266
2018,1,22,풍납동,쌍용,1994,84.85,"76,000",3,401-1,11710-12
2018,1,17,송파동,현대,1997,84.96,"72,000",13,163-14,11710-32
2018,1,13,마천동,아남,1992,70.42,"42,000",5,9,11710-153
2018,1,30,신천동,파크리오,2008,84.79,"140,000",11,17,11710-6266
2018,1,31,신천동,한신잠실코아,1988,50.76,"77,200",7,11-9,11710-175
2018,1,29,신천동,장미2,1979,71.2,"127,000",14,11,11710-177
2018,1,29,문정동,문정시영,1989,25.65,"32,000",11,145,11710-83
2018,1,25,잠실동,트리지움,2007,84.83,"156,000",8,35,11710-6028
2018,1,29,거여동,현대3차,1993,84.94,"55,000",6,46,11710-145
2018,1,23,신천동,장미1,1979,82.45,"150,000",10,7,11710-170
2018,1,30,신천동,더샵스타리버,2006,171.53,"114,500",12,11-8,11710-5899
2018,1,29,잠실동,잠실엘스,2008,84.97,"163,000",18,19,11710-6346
2018,1,27,송파동,송파삼성래미안아파트,2001,79.7,"90,000",10,162,11710-26
2018,1,31,송파동,가락삼익맨숀,1984,108.338,"108,500",4,166,11710-27
2018,1,23,송파동,가락삼익맨숀,1984,127.808,"117,000",5,166,11710-27
2018,1,28,송파동,미성맨션,1985,169.44,"125,000",4,161,11710-24
2018,1,29,가락동,롯데캐슬,2003,180.667,"97,000",20,79,11710-200
2018,1,31,송파동,송파삼성래미안아파트,2001,79.7,"95,000",10,162,11710-26
2018,1,25,석촌동,잠실한솔,2000,84.87,"86,000",19,285,11710-40
2018,1,27,문정동,파크하비오,2016,84.9725,"113,000",16,618,11710-8245
2018,1,30,가락동,가락(1차)쌍용아파트,1997,59.92,"64,000",23,140,11710-59
2018,1,31,방이동,올림픽베어스타운1,1996,59.37,"55,000",3,171,11710-101
2018,1,27,가락동,동부센트레빌,2001,143.02,"110,000",18,95,11710-51
2018,1,27,신천동,롯데캐슬골드,2005,148.15,"141,000",13,7-18,11710-5589
2018,1,10,장지동,송파와이즈더샵,2016,96.7642,"105,000",4,895,11710-8018
2018,1,31,잠실동,레이크팰리스,2006,135.82,"219,000",19,44,11710-5957
2018,1,20,잠실동,트리지움,2007,84.83,"156,500",5,35,11710-6028
2018,1,20,신천동,파크리오,2008,144.77,"171,000",10,17,11710-6266
2018,1,24,장지동,송파더센트레,2013,59.85,"82,000",14,879,11710-7430
