dealYear,dealMonth,dealDay,umdNm,aptNm,buildYear,excluUseAr,dealAmount,floor,jibun,aptSeq
2018,1,20,상현동,용인수지휴엔하임,2016,59.982,"37,900",9,1201,41465-372
2018,1,27,동천동,동천디이스트,2007,84.911,"48,700",18,914,41465-272
2018,1,29,성복동,버들치마을성복힐스테이트1차,2011,134.859,"74,800",15,771,41465-298
2018,1,25,풍덕천동,현대성우8차,1999,59.99,"35,500",4,1112,41465-19
2018,1,30,풍덕천동,수지삼성4차,1994,59.76,"26,600",10,663-1,41465-11
2018,1,31,성복동,엘지빌리지6,2003,134.725,"56,500",5,731,41465-137
2018,1,30,성복동,버들치마을성복힐스테이트1차,2011,157.115,"73,000",4,771,41465-298
2018,1,31,동천동,동천마을동문굿모닝힐6차,2007,132.715,"59,000",13,913,41465-273
2018,1,19,풍덕천동,래미안수지이스트파크,2015,84.98,"60,000",12,1198,41465-365
2018,1,29,풍덕천동,수지푸르지오월드마크,2013,84.61,"42,500",21,1195,41465-328
2018,1,24,상현동,광교쌍용포레듀엔,2001,159.7529,"40,600",9,824,41465-103
2018,1,31,풍덕천동,진산마을삼성5차,2003,84.2102,"44,000",4,1167,41465-143
2018,1,25,풍덕천동,동부,1995,59.61,"31,200",12,691,41465-6
2018,1,30,상현동,광교자이더클래스,2012,84.987,"72,800",4,1134,41465-321
2018,1,31,죽전동,벽산블루밍4단지,1999,59.96,"39,000",6,952,41465-38
2018,1,23,죽전동,도담마을한양수자인,2004,59.9756,"31,500",13,1262,41465-175
2018,1,29,죽전동,성현마을우미이노스빌2차,2004,59.9534,"33,000",11,1329,41465-168
2018,1,20,상현동,광교경남아너스빌,2011,84.982,"69,700",19,1115,41465-301
2018,1,31,성복동,성동마을강남,2001,84.9624,"47,000",17,84,41465-91
2018,1,25,상현동,광교상현마을현대,2001,79.336,"37,300",18,853,41465-108
2018,1,29,상현동,광교상떼빌파크뷰,2002,134.4429,"47,500",6,866,41465-122
2018,1,27,풍덕천동,수지삼성2차,1995,59.9985,"33,200",16,692-1,41465-10
2018,1,31,죽전동,꽃메마을아이파크,2004,119.219,"47,500",8,1307,41465-179
2018,1,23,상현동,광교자이더클래스,2012,84.987,"72,970",28,1134,41465-321
2018,1,25,상현동,광교마을46-2단지광교스타클래스,2011,122.273,"57,500",7,1108,41465-303
2018,1,29,풍덕천동,신정마을주공1,2000,59.34,"36,650",20,1065,41465-23
2018,1,27,죽전동,벽산블루밍2단지,1997,59.97,"39,000",5,832-1,41465-42
2018,1,20,죽전동,벽산첼시빌,2001,146.274,"53,000",13,1111,41465-40
2018,1,31,성복동,벽산첼시빌2차,2002,133.148,"41,700",11,723,41465-141
2018,1,20,상현동,성복역금호베스트빌,2002,101.995,"41,800",9,867,41465-121
2018,1,23,죽전동,더리버하임,1999,84.97,"38,000",5,454,41465-45
2018,1,29,상현동,만현마을3단지성원쌍떼빌,2002,84.975,"34,800",6,864,41465-120
2018,1,23,죽전동,내대지마을건영캐스빌,2004,110.3495,"54,800",7,1182,41465-162
2018,1,29,풍덕천동,수지삼성4차,1994,59.76,"26,000",15,663-1,41465-11
2018,1,29,죽전동,성현마을광명샤인빌,2005,59.8372,"27,100",7,1355,41465-201
2018,1,26,풍덕천동,현대성우8차,1999,59.99,"36,000",2,1112,41465-19
2018,1,29,죽전동,죽전아이뷰,1999,84.895,"36,900",11,883-1,41465-33
2018,1,23,죽전동,도담마을7단지뜨리에체,1999,84.97,"36,000",5,414,41465-57
2018,1,6,죽전동,현암마을동성2차,1999,60,"31,000",8,1003-8,41465-36
2018,1,18,죽전동,꽃메마을힐스테이트4차2단지,2004,84.9959,"39,000",3,1269,41465-173
2018,1,23,상현동,광교자이더클래스,2012,84.938,"75,000",20,1134,41465-321
