dealYear,dealMonth,dealDay,umdNm,aptNm,buildYear,excluUseAr,dealAmount,floor,jibun,aptSeq
2018,1,30,대방동,대동황토방,2001,59.2107,"22,100",11,367,48123-8
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,43.56,"14,100",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",1,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,43.56,"14,100",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",2,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,43.56,"14,100",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",3,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,43.56,"14,100",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",4,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",5,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",5,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",5,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",5,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",5,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",5,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,43.56,"14,100",5,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",5,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",5,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",5,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",5,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",5,24-6,48123-122
2018,1,26,가음동,풍성전기사원,1992,36.81,"12,600",5,24-6,48123-122
2018,1,28,상남동,성원,1994,84.91,"23,300",4,45-1,48123-52
2018,1,26,가음동,풍성정밀사원,1989,51.84,"12,300",1,24-1,48123-137
