dealYear,dealMonth,dealDay,umdNm,aptNm,buildYear,excluUseAr,dealAmount,floor,jibun,aptSeq
2020,1,21,신방동,초원그린타운,1998,39.27,"6,500",14,920,44131-81
2020,1,30,청수동,청솔엘지에스케이,1999,84.98,"17,600",8,261,44131-56
2020,1,2,청당동,한양수자인,2011,84.9344,"26,500",5,458,44131-854
2020,1,7,신방동,한라동백2,1998,84.97,"15,500",2,909,44131-46
2020,1,29,다가동,일봉산해피트리,2017,84.975,"26,500",5,578,44131-970
2020,1,23,청당동,한양수자인,2011,84.971,"32,500",10,458,44131-854
2020,1,18,청당동,한양수자인,2011,84.9468,"30,000",9,458,44131-854
2020,1,24,안서동,안서금호어울림,2009,84.969,"19,000",9,365-3,44131-840
2020,1,21,청당동,한양수자인,2011,84.9344,"28,000",5,458,44131-854
2020,1,28,청당동,한양수자인,2011,84.971,"27,000",2,458,44131-854
2020,1,23,청당동,청당코오롱하늘채,2019,59.4428,"22,000",15,992,44131-1002
2020,1,7,안서동,고운여의주,2004,84.96,"16,500",7,223-3,44131-100
2020,1,28,다가동,일봉공원한화꿈에그린,2006,84.96,"17,500",4,444-3,44131-790
2020,1,20,청당동,행정타운두산위브더파크,2018,84.971,"28,900",20,980,44131-979
2020,1,23,다가동,일봉산해피트리,2017,84.9553,"25,900",3,578,44131-970
2020,1,31,원성동,극동,1995,30.23,"6,800",3,559-15,44131-9
2020,1,20,청당동,청당코오롱하늘채,2019,71.3335,"24,200",11,992,44131-1002
2020,1,31,다가동,일봉산해피트리,2017,84.9458,"26,000",8,578,44131-970
2020,1,7,안서동,부경파크빌2차,2004,160.905,"30,000",8,211,44131-90
2020,1,28,신방동,신방동대주피오레,2006,104.259,"22,000",12,935,44131-789
2020,1,17,병천면 병천리,병천모드니에,2005,74.041,"15,000",7,302,44131-786
2020,1,10,신방동,신방푸르지오,2009,84.9609,"19,000",13,1911,44131-837
2020,1,30,신부동,대림한들,1995,101.74,"20,500",6,545,44131-60
2020,1,6,신부동,경남아너스빌,2000,59.862,"15,500",5,85,44131-68
2020,1,29,신방동,향촌현대,1997,59.84,"13,500",16,905,44131-47
2020,1,28,청수동,극동2차,1992,84.81,"11,900",1,183,44131-55
2020,1,16,청수동,극동1차,1992,127.22,"16,500",6,209,44131-54
2020,1,29,신방동,한라동백2,1998,59.79,"13,000",20,909,44131-46
2020,1,28,용곡동,용곡동일하이빌하이씨티4단지,2015,84.9495,"24,800",11,609,44131-926
2020,1,13,용곡동,용곡동일하이빌하이씨티4단지,2015,84.9495,"23,400",4,609,44131-926
2020,1,23,쌍용동,쌍용신성,1995,84.99,"10,500",1,555-2,44131-33
2020,1,27,구성동,신성천안미소지움,2006,84.499,"18,400",6,259,44131-791
2020,1,10,신방동,신방푸르지오,2009,84.9609,"19,000",13,1911,44131-837
2020,1,21,다가동,웰스빌,2006,84.841,"15,000",15,26-1,44131-801
